Time(s)	pixel_1_intensity	pixel_2_intensity	pixel_3_intensity	pixel_4_intensity
0.3106386661529541	255	255	255	255
1.5585405826568604	255	255	255	255
2.8097541332244873	255	255	255	255
3.7584214210510254	255	255	255	255
4.997945070266724	255	255	255	255
5.946769714355469	255	255	255	255
7.184317350387573	255	255	255	255
8.124715805053711	255	255	255	255
9.064369440078735	255	255	255	255
10.3087477684021	255	255	255	255
11.560763359069824	244	227	250	218
12.53948426246643	245	231	251	217
13.763721942901611	249	231	251	208
14.715883731842041	250	234	251	217
15.669322490692139	250	238	249	211
16.886971473693848	250	242	250	233
17.84797430038452	251	239	250	233
18.805899381637573	200	193	201	182
20.027480602264404	200	195	193	195
20.99451971054077	202	200	201	208
22.215480089187622	196	186	195	186
23.177305698394775	194	189	195	193
24.40343403816223	194	192	196	193
25.653111934661865	205	198	194	206
26.614150524139404	204	196	202	204
